Time,Temp,SoC,DoD,C,V,R0
129421934.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
129489263.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
129556943.5,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
129558089.5,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
129759630.5,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
129762418.5,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
129804165.6,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
129842722.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
129889763.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
129928185.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
129976895.5,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
130193878.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
130347541.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
130352006.5,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
130353615.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
130426418.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
130445864.6,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
130448089.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
130529673.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
130635815.5,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
130679900.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
130794922.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
130796232.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
130850832.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
130856294.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
130857526.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
130888139.5,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
130889526.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
130931271.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
131038483.5,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
131047090.1,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
131053575.6,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
131055837.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
131134528.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
131200980.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
131476283.1,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
131479342.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
131481412.5,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
131729993.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
131732219.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
131877050.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
131884690.1,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
131969762.5,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
131991791.6,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
131993043.6,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
132145142.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
132156082.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
132235771.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
132256264.5,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
132324594.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
132346223.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
132431843.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
132586469.5,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
132624189.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
132669259.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
132671433.5,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
132674199.1,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
132684264.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
132824838.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
132853778.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
132861998.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
132868142.2,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
132871652.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
132874413.5,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
133019980.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
133020984.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
133103051.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
133175439.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
133183264.5,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
133184348.2,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
133192897.5,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
133470141.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
133532688.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
133542967.2,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
133728941.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
133733274.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
133774143.5,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
133781079.2,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
134056103.5,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
134082208.6,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
134136444.9,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
134141113.6,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
134321859.2,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
134330423.6,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
134394094.5,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
134564461.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
134568220.1,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
134595860.2,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
134746130.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
134756722.6,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
134760259.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
134760918.5,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
134767413.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
134776708.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
134811060.1,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
134834381.6,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
134844913.5,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
134850126.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
135082045.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
135106441.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
135109940.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
135286263.5,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
135286896.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
135287311.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
135292785.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
135337938.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
135372163.6,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
135444474.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
135972875.2,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
135977008.2,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
136111278.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
136117363.5,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
136162620.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
136196763.5,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
136207030.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
136215550.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
136320772.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
136490667.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
136552287.5,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
136553222.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
136562171.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
136577094.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
136744370.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
136754417.6,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
136802305.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
136823849.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
136824320.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
136829102.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
136833509.4,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
136896395.5,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
136903945.3,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
136905676.5,25,-10.73103994,3.922680439,-10.73103994,3.922680439,
